     5.160 -28.8232 -28.8404 -28.8590 -28.8799 -28.9033 -28.9299 -28.9604 -28.9951 -29.0343 -29.0800 -29.1311 -29.1897 -29.2558 -29.3297 -29.4110 -29.5002 -29.5963 -29.6979 -29.8033 -29.9116 -30.0215 -30.1303 -30.2374 -30.3412 -30.4399 -30.5332 -30.6205 -30.7009 -30.7752 -30.8424 -30.9037 -30.9592 -31.0092 -31.0545 -31.0957 -31.1326 -31.1663 -31.1969 -31.2248 -31.2502 -31.2735 -31.2946 -31.3140 -31.3319 -31.3480 -31.3631 -31.3769 -31.3896 -31.4016 -31.4126 -31.4227 -31.4322 -31.4408 -31.4490 -31.4566 -31.4636 -31.4701 -31.4765 -31.4822 -31.4879 -31.4931 -31.4979 -31.5025 -31.5069
     5.180 -28.8237 -28.8409 -28.8595 -28.8803 -28.9038 -28.9304 -28.9608 -28.9955 -29.0347 -29.0804 -29.1316 -29.1902 -29.2562 -29.3302 -29.4115 -29.5007 -29.5968 -29.6983 -29.8037 -29.9121 -30.0219 -30.1308 -30.2378 -30.3416 -30.4403 -30.5336 -30.6209 -30.7013 -30.7756 -30.8428 -30.9041 -30.9596 -31.0095 -31.0548 -31.0961 -31.1329 -31.1667 -31.1973 -31.2252 -31.2506 -31.2739 -31.2950 -31.3143 -31.3322 -31.3484 -31.3634 -31.3773 -31.3900 -31.4020 -31.4129 -31.4230 -31.4325 -31.4412 -31.4493 -31.4569 -31.4639 -31.4705 -31.4769 -31.4826 -31.4883 -31.4934 -31.4982 -31.5028 -31.5072
     5.200 -28.8238 -28.8411 -28.8596 -28.8805 -28.9039 -28.9306 -28.9610 -28.9956 -29.0348 -29.0805 -29.1317 -29.1902 -29.2563 -29.3302 -29.4115 -29.5007 -29.5967 -29.6982 -29.8036 -29.9119 -30.0216 -30.1305 -30.2374 -30.3412 -30.4398 -30.5330 -30.6203 -30.7006 -30.7748 -30.8420 -30.9032 -30.9588 -31.0087 -31.0539 -31.0952 -31.1320 -31.1657 -31.1964 -31.2242 -31.2496 -31.2730 -31.2940 -31.3134 -31.3313 -31.3474 -31.3625 -31.3763 -31.3890 -31.4010 -31.4120 -31.4221 -31.4316 -31.4402 -31.4484 -31.4560 -31.4630 -31.4695 -31.4759 -31.4816 -31.4873 -31.4925 -31.4973 -31.5019 -31.5063
     5.220 -28.8237 -28.8409 -28.8594 -28.8803 -28.9037 -28.9303 -28.9607 -28.9954 -29.0346 -29.0803 -29.1314 -29.1899 -29.2559 -29.3298 -29.4110 -29.5001 -29.5961 -29.6975 -29.8028 -29.9110 -30.0207 -30.1294 -30.2362 -30.3398 -30.4383 -30.5314 -30.6185 -30.6988 -30.7729 -30.8400 -30.9012 -30.9566 -31.0065 -31.0517 -31.0929 -31.1297 -31.1635 -31.1941 -31.2219 -31.2473 -31.2706 -31.2917 -31.3110 -31.3289 -31.3451 -31.3601 -31.3740 -31.3867 -31.3987 -31.4096 -31.4198 -31.4292 -31.4379 -31.4460 -31.4536 -31.4606 -31.4672 -31.4736 -31.4793 -31.4850 -31.4901 -31.4950 -31.4995 -31.5039
     5.240 -28.8237 -28.8410 -28.8595 -28.8803 -28.9038 -28.9304 -28.9608 -28.9954 -29.0346 -29.0802 -29.1313 -29.1898 -29.2558 -29.3297 -29.4109 -29.5000 -29.5959 -29.6973 -29.8025 -29.9106 -30.0202 -30.1288 -30.2356 -30.3391 -30.4375 -30.5306 -30.6176 -30.6978 -30.7718 -30.8389 -30.9000 -30.9554 -31.0053 -31.0504 -31.0917 -31.1284 -31.1621 -31.1927 -31.2206 -31.2460 -31.2693 -31.2904 -31.3097 -31.3276 -31.3438 -31.3588 -31.3726 -31.3853 -31.3973 -31.4083 -31.4184 -31.4279 -31.4365 -31.4447 -31.4523 -31.4593 -31.4659 -31.4722 -31.4779 -31.4836 -31.4888 -31.4936 -31.4982 -31.5026
     5.260 -28.8244 -28.8416 -28.8602 -28.8810 -28.9044 -28.9310 -28.9614 -28.9961 -29.0352 -29.0809 -29.1320 -29.1905 -29.2565 -29.3304 -29.4116 -29.5007 -29.5967 -29.6980 -29.8033 -29.9114 -30.0210 -30.1297 -30.2365 -30.3400 -30.4385 -30.5316 -30.6186 -30.6988 -30.7729 -30.8400 -30.9011 -30.9565 -31.0064 -31.0516 -31.0928 -31.1296 -31.1633 -31.1939 -31.2218 -31.2471 -31.2705 -31.2915 -31.3109 -31.3288 -31.3449 -31.3600 -31.3738 -31.3865 -31.3985 -31.4094 -31.4196 -31.4290 -31.4377 -31.4459 -31.4534 -31.4604 -31.4670 -31.4734 -31.4791 -31.4848 -31.4900 -31.4948 -31.4994 -31.5038
     5.280 -28.8255 -28.8427 -28.8613 -28.8821 -28.9055 -28.9322 -28.9626 -28.9972 -29.0364 -29.0821 -29.1332 -29.1918 -29.2578 -29.3317 -29.4129 -29.5021 -29.5981 -29.6996 -29.8049 -29.9131 -30.0228 -30.1316 -30.2385 -30.3422 -30.4407 -30.5339 -30.6211 -30.7014 -30.7755 -30.8427 -30.9039 -30.9593 -31.0092 -31.0545 -31.0957 -31.1325 -31.1662 -31.1969 -31.2247 -31.2501 -31.2734 -31.2945 -31.3138 -31.3317 -31.3479 -31.3629 -31.3768 -31.3895 -31.4015 -31.4124 -31.4226 -31.4320 -31.4407 -31.4489 -31.4564 -31.4634 -31.4700 -31.4764 -31.4821 -31.4878 -31.4930 -31.4978 -31.5024 -31.5068
     5.300 -28.8259 -28.8432 -28.8617 -28.8826 -28.9060 -28.9326 -28.9630 -28.9977 -29.0369 -29.0826 -29.1337 -29.1922 -29.2583 -29.3322 -29.4134 -29.5026 -29.5986 -29.7000 -29.8053 -29.9136 -30.0233 -30.1321 -30.2390 -30.3426 -30.4412 -30.5343 -30.6215 -30.7018 -30.7760 -30.8431 -30.9043 -30.9598 -31.0097 -31.0549 -31.0962 -31.1330 -31.1667 -31.1973 -31.2252 -31.2506 -31.2739 -31.2950 -31.3143 -31.3322 -31.3484 -31.3634 -31.3772 -31.3899 -31.4019 -31.4129 -31.4230 -31.4325 -31.4411 -31.4493 -31.4569 -31.4639 -31.4705 -31.4768 -31.4825 -31.4882 -31.4934 -31.4982 -31.5028 -31.5072
     5.320 -28.8258 -28.8430 -28.8616 -28.8824 -28.9058 -28.9324 -28.9628 -28.9975 -29.0366 -29.0823 -29.1334 -29.1919 -29.2579 -29.3318 -29.4130 -29.5021 -29.5980 -29.6994 -29.8046 -29.9127 -30.0224 -30.1310 -30.2378 -30.3413 -30.4397 -30.5328 -30.6199 -30.7001 -30.7741 -30.8412 -30.9023 -30.9577 -31.0076 -31.0528 -31.0940 -31.1307 -31.1645 -31.1951 -31.2229 -31.2483 -31.2716 -31.2927 -31.3120 -31.3299 -31.3461 -31.3611 -31.3750 -31.3877 -31.3997 -31.4106 -31.4207 -31.4302 -31.4389 -31.4470 -31.4546 -31.4616 -31.4682 -31.4746 -31.4803 -31.4859 -31.4911 -31.4959 -31.5005 -31.5049
     5.340 -28.8260 -28.8433 -28.8618 -28.8827 -28.9061 -28.9327 -28.9631 -28.9977 -29.0369 -29.0825 -29.1336 -29.1921 -29.2580 -29.3319 -29.4131 -29.5021 -29.5981 -29.6994 -29.8046 -29.9127 -30.0222 -30.1308 -30.2376 -30.3411 -30.4394 -30.5324 -30.6194 -30.6996 -30.7736 -30.8406 -30.9017 -30.9571 -31.0069 -31.0521 -31.0933 -31.1301 -31.1638 -31.1944 -31.2222 -31.2476 -31.2709 -31.2920 -31.3113 -31.3292 -31.3454 -31.3604 -31.3743 -31.3870 -31.3990 -31.4099 -31.4200 -31.4295 -31.4381 -31.4463 -31.4539 -31.4609 -31.4675 -31.4739 -31.4796 -31.4852 -31.4904 -31.4952 -31.4998 -31.5042
     5.360 -28.8273 -28.8446 -28.8631 -28.8840 -28.9074 -28.9340 -28.9644 -28.9991 -29.0382 -29.0839 -29.1350 -29.1935 -29.2595 -29.3335 -29.4147 -29.5038 -29.5998 -29.7012 -29.8064 -29.9146 -30.0243 -30.1330 -30.2399 -30.3434 -30.4419 -30.5350 -30.6222 -30.7024 -30.7765 -30.8436 -30.9048 -30.9602 -31.0101 -31.0553 -31.0965 -31.1333 -31.1671 -31.1977 -31.2255 -31.2509 -31.2742 -31.2953 -31.3146 -31.3325 -31.3487 -31.3637 -31.3776 -31.3903 -31.4023 -31.4132 -31.4234 -31.4328 -31.4415 -31.4496 -31.4572 -31.4642 -31.4708 -31.4772 -31.4829 -31.4886 -31.4938 -31.4986 -31.5032 -31.5075
     5.380 -28.8291 -28.8464 -28.8650 -28.8858 -28.9093 -28.9359 -28.9663 -29.0010 -29.0402 -29.0860 -29.1371 -29.1957 -29.2618 -29.3358 -29.4170 -29.5063 -29.6024 -29.7039 -29.8093 -29.9177 -30.0276 -30.1365 -30.2436 -30.3474 -30.4461 -30.5394 -30.6268 -30.7072 -30.7815 -30.8488 -30.9100 -30.9656 -31.0155 -31.0608 -31.1021 -31.1389 -31.1727 -31.2033 -31.2312 -31.2566 -31.2799 -31.3010 -31.3203 -31.3382 -31.3544 -31.3694 -31.3833 -31.3960 -31.4080 -31.4189 -31.4291 -31.4385 -31.4472 -31.4554 -31.4629 -31.4699 -31.4765 -31.4829 -31.4886 -31.4943 -31.4995 -31.5043 -31.5089 -31.5133
